2026-02-03 17:13:34,909 - LightControllerV3 - INFO - Received signal 15, shutting down...
2026-02-03 17:13:34,913 - LightControllerV3 - INFO - Received signal 15, shutting down...
2026-02-03 17:13:34,935 - LightControllerV3 - INFO - Shutting down...
2026-02-03 17:13:34,940 - LightControllerV3 - INFO - Shutting down...
2026-02-03 17:13:37,433 - LightControllerV3 - INFO - Restored slider settings
2026-02-03 17:15:47,547 - LightControllerV3 - INFO - Shutting down...
2026-02-03 17:17:48,032 - LightControllerV3 - INFO - Restored slider settings
2026-02-03 17:20:56,849 - LightControllerV3 - INFO - Received signal 15, shutting down...
2026-02-03 17:20:56,850 - LightControllerV3 - INFO - Shutting down...
2026-02-03 17:20:59,370 - LightControllerV3 - INFO - Restored slider settings
2026-02-03 17:21:57,927 - LightControllerV3 - INFO - Shutting down...
2026-02-03 17:30:47,095 - LightControllerV3 - INFO - Restored slider settings
2026-02-03 17:30:58,293 - LightControllerV3 - INFO - Received signal 2, shutting down...
2026-02-03 17:30:58,293 - LightControllerV3 - INFO - Shutting down...
2026-02-03 17:31:27,435 - LightControllerV3 - INFO - OSC server listening on 0.0.0.0:7000
2026-02-03 17:31:27,439 - LightControllerV3 - INFO - Restored slider settings
2026-02-03 17:34:23,572 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 207 msgs, person 81 at (246, 180), active=0, passive=1
2026-02-03 17:34:25,575 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 229 msgs, person 81 at (224, 177), active=0, passive=1
2026-02-03 17:34:27,605 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 213 msgs, person 81 at (137, 163), active=0, passive=2
2026-02-03 17:34:29,607 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 163 msgs, person 81 at (67, 151), active=0, passive=1
2026-02-03 17:34:31,641 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 183 msgs, person 81 at (67, 151), active=1, passive=0
2026-02-03 17:34:33,672 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 219 msgs, person 81 at (86, 159), active=0, passive=0
2026-02-03 17:34:35,678 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 210 msgs, person 81 at (112, 155), active=0, passive=1
2026-02-03 17:34:37,679 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 201 msgs, person 81 at (201, 143), active=0, passive=2
2026-02-03 17:34:39,714 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 170 msgs, person 81 at (187, 190), active=0, passive=1
2026-02-03 17:34:41,747 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 256 msgs, person 81 at (62, 257), active=0, passive=1
2026-02-03 17:34:43,749 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 264 msgs, person 81 at (-135, 257), active=1, passive=2
2026-02-03 17:34:45,779 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 204 msgs, person 97 at (285, 157), active=0, passive=2
2026-02-03 17:34:47,781 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 177 msgs, person 97 at (285, 149), active=0, passive=0
2026-02-03 17:34:49,781 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 213 msgs, person 97 at (258, 153), active=0, passive=2
2026-02-03 17:34:49,883 - LightControllerV3 - INFO - Shutting down...
2026-02-03 17:40:06,495 - LightControllerV3 - INFO - OSC server listening on 0.0.0.0:7000
2026-02-03 17:40:06,498 - LightControllerV3 - INFO - Restored slider settings
2026-02-03 17:40:17,626 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 1 msgs, person 1 at (76, 499), active=0, passive=0
2026-02-03 17:40:19,633 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 53 msgs, person 1 at (-125, 498), active=0, passive=0
2026-02-03 17:40:21,634 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 106 msgs, person 1 at (-326, 496), active=0, passive=0
2026-02-03 17:40:23,674 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 125 msgs, person 2 at (30, 328), active=0, passive=1
2026-02-03 17:40:25,677 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 125 msgs, person 3 at (5, 428), active=0, passive=1
2026-02-03 17:40:27,679 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 125 msgs, person 5 at (-195, 346), active=0, passive=1
2026-02-03 17:40:29,684 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 107 msgs, person 5 at (-13, 345), active=0, passive=1
2026-02-03 17:40:31,687 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 140 msgs, person 6 at (-357, 517), active=0, passive=2
2026-02-03 17:40:33,690 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 116 msgs, person 7 at (-260, 425), active=0, passive=2
2026-02-03 17:40:35,690 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 152 msgs, person 8 at (61, 516), active=0, passive=1
2026-02-03 17:40:37,692 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 117 msgs, person 9 at (-384, 339), active=0, passive=1
2026-02-03 17:40:39,694 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 111 msgs, person 10 at (-39, 487), active=0, passive=2
2026-02-03 17:40:41,698 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 137 msgs, person 12 at (-178, 500), active=0, passive=1
2026-02-03 17:40:43,700 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 102 msgs, person 13 at (-166, 461), active=0, passive=1
2026-02-03 17:40:45,702 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 108 msgs, person 13 at (40, 461), active=0, passive=2
2026-02-03 17:40:47,740 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 177 msgs, person 14 at (-330, 364), active=1, passive=2
2026-02-03 17:40:49,778 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 156 msgs, person 16 at (-118, 179), active=1, passive=1
2026-02-03 17:40:51,808 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 159 msgs, person 16 at (-118, 206), active=1, passive=1
2026-02-03 17:40:53,841 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 167 msgs, person 16 at (-106, 157), active=1, passive=2
2026-02-03 17:40:55,846 - V3Dev.tracking.osc_handler - INFO - 📥 OSC: 182 msgs, person 16 at (-103, 141), active=1, passive=1
